ID,Nimi,Number,Liik,Tee_GID,Piirkiirus,Kate
13651,Suveaed,,jalgtee,{6D46A798-5DEF-4EB3-81F2-63B02B0ABE27},50,kruusatee
13652,Suveaed,,jalgtee,{37F398A3-E818-4903-9338-76187A3BD805},50,kattega tee (katte liik teadmata)
13653,Suveaed,,jalgtee,{0DECBBBF-C03E-4731-A3FD-56C805B0AFCC},50,kattega tee (katte liik teadmata)
13654,Suveaed,,jalgtee,{CFF48326-20E9-4C0A-87EA-52A6C07A810D},50,kattega tee (katte liik teadmata)
13655,Suveaed,,jalgtee,{4FD92F62-BECC-4A5D-A4D8-2CADD57718D3},50,kattega tee (katte liik teadmata)
13656,Suveaed,,jalgtee,{F396EEA5-845E-465B-8121-B342950513D1},50,kattega tee (katte liik teadmata)
13657,Suveaed,,jalgtee,{6AB8B49A-7663-4920-BC13-A2377ACD611F},50,kattega tee (katte liik teadmata)
13658,Suveaed,,jalgtee,{0FB2E51B-4C27-4D91-BEAA-29DBF1067D6C},50,kattega tee (katte liik teadmata)
13659,Sõbra,,jalgratta- ja jalgtee,{2B1E9FE0-3872-47FD-BF76-3D3872CA2B79},50,tihe asfaltbetoon
13660,Sõbra,,jalgratta- ja jalgtee,{421AA1D6-94FD-49D7-95D9-25C403C8B863},50,tihe asfaltbetoon
13661,Sõbra,,kõnnitee,{1D2F97CA-165F-4A3D-98EA-FD031E7A978C},30,asfaltbetoon
13662,Sõbra,,kõnnitee,{EC0822F5-AD9E-4FF4-93CE-ABB8389BB451},30,asfaltbetoon
13663,Sõbra,,kõnnitee,{1BF9C89F-DAAF-4E17-A919-C36E1B72B016},50,asfaltbetoon
13664,Sõbra,,kõnnitee,{A66A0A5A-9886-48D7-B6C1-8ECBE8CB4BA0},50,asfaltbetoon
13665,Sõbra,,kõnnitee,{95C79A7C-5A57-4FFB-9A4B-6CB2E0B9A9EB},30,asfaltbetoon
13666,Sõbra,,kõnnitee,{EC766460-3779-43FB-A0E5-F1377FFA1AA0},50,asfaltbetoon
13667,Sõbra,,kõnnitee,{625F1829-5CF9-4D13-A83D-A308E69FDE02},50,asfaltbetoon
13668,Sõbra,,kõnnitee,{54E1FA3A-B4F8-4F9F-9E51-72FD14F22B9B},50,asfaltbetoon
13669,Sõbra,,kõnnitee,{83348952-750C-419E-95DA-BEF7DDA45938},50,asfaltbetoon
13670,Sõbra,,kõnnitee,{9F311A69-7943-4320-B72D-64ED61DA9003},50,asfaltbetoon
13671,Sõbra,,kõnnitee,{8D721D4B-2A23-4A27-AABF-2C96D1679639},50,asfaltbetoon
13672,Sõbra,,kõnnitee,{278BAA0F-3869-424A-9E4B-251CBE88205B},50,asfaltbetoon
13673,Sõbra,,kõnnitee,{93F30A8F-E3EC-4D8A-A4DA-29A441211DB5},50,tihe asfaltbetoon
13674,Sõbra,,kõnnitee,{1267B55A-2EE5-4408-9ABB-D85E95C706B7},50,tihe asfaltbetoon
13675,Sõbra,,kõnnitee,{595C11F4-9AC2-4905-910F-25B7BEA317B8},50,asfaltbetoon
13676,Sõbra,,kõnnitee,{7A7D23B5-0957-45B5-94BF-829307C2D361},50,asfaltbetoon
13677,Sõbra,,kõnnitee,{8645D062-E4E9-45DB-B15B-DDD93B59DEED},30,asfaltbetoon
13678,Sõbra,,kõnnitee,{E4290BB8-ED9F-4A4D-B44D-0E93C681C2DC},50,asfaltbetoon
13679,Sõbra,,kõnnitee,{8F38808A-9DF7-49A4-8E08-6AE4BF9DF326},50,asfaltbetoon
13680,Sõbra,,kõnnitee,{557CECE2-BCB2-4403-A2C0-A513DA7EF2D8},30,asfaltbetoon
13681,Sõbra,,kõnnitee,{56FF4DF7-E583-491C-9B90-803792A1AF0B},50,asfaltbetoon
13682,Sõbra,,kõnnitee,{AF8B6BCD-E5E4-4288-B728-D1AEF1C58879},50,asfaltbetoon
13683,Sõbra,,kõnnitee,{A95D1A38-0556-43AB-BED1-563184B2576F},30,asfaltbetoon
13684,Sõbra,,kõnnitee,{CC4CCA6E-BBD0-4BFD-A33D-16E7D20A6093},30,asfaltbetoon
13685,Sõbra,,kõnnitee,{E76AE555-AF4A-4AB1-97A2-C72A6C0E9043},30,asfaltbetoon
13686,Sõbra,,kõnnitee,{EDE3F5F9-16D0-4F65-996B-8350EC22EEFC},30,asfaltbetoon
13687,Sõbra,,kõnnitee,{B0A9926A-1998-4769-BF77-7DE41B71BB25},50,asfaltbetoon
13688,Sõbra,,kõnnitee,{E3AEF114-981B-432B-B2DD-0C0AF694E07E},50,asfaltbetoon
13689,Sõbra,,kõnnitee,{014D5414-D386-4179-BE30-A434A85195EA},50,asfaltbetoon
13690,Sõbra J 19a,,jalgtee,{C7C08702-94B9-47A7-9821-75A7DBE95566},50,kattega tee (katte liik teadmata)
13691,Sõbra J 41,,jalgtee,{A8A65D0B-39DA-441E-9CB8-52D530ACF870},50,kattega tee (katte liik teadmata)
13692,Sõbra J 58,,kõnnitee,{CFBEDCB9-BB66-44FF-AE1C-B0B6C507A005},50,kattega tee (katte liik teadmata)
13693,Sõbra J 58,,jalgtee,{CF80B48C-E80E-4305-929E-ED86C19AD8E0},50,kattega tee (katte liik teadmata)
13694,Sõbra J 58,,jalgtee,{2637E21D-3861-4884-99FA-2983773A52AF},50,kattega tee (katte liik teadmata)
13695,Sõbra mänguväljak,,jalgtee,{6B4E6B05-0075-4111-A300-BA360070A35A},50,kattega tee (katte liik teadmata)
13696,Sõbra mänguväljak,,jalgtee,{6C173EDE-93B4-4547-B960-8C409F27C091},50,kattega tee (katte liik teadmata)
13697,Sõbra tn,7950323,kõrvaltänav,{156EAA97-6F50-4BD1-9E38-BA5ED370CA14},50,tihe asfaltbetoon
13698,Sõbra tn,7950323,jaotustänav,{508933A3-ECC2-46AC-8BD2-A333E47CF7F4},30,tihe asfaltbetoon
13699,Sõbra tn,7950323,jaotustänav,{00B671CD-99C4-496E-84E1-9A89D4197C9B},30,tihe asfaltbetoon
13700,Sõbra tn,7950323,jaotustänav,{864451CB-B206-4B43-B937-6ACBBCBFB29B},30,tihe asfaltbetoon
13701,Sõbra tn,7950323,kõrvaltänav,{7E5C997B-F5AE-43B0-BD2B-F72C866E72E2},50,tihe asfaltbetoon
13702,Sõbra tn,7950323,jaotustänav,{80ECF7E7-5A35-4031-8678-00E8B74A90CC},30,tihe asfaltbetoon
13703,Sõbra tn,7950323,kõrvaltänav,{0F050F0D-5102-4D53-B54A-CC3DE79DD038},50,tihe asfaltbetoon
13704,Sõbra tn,7950323,jaotustänav,{DF6DE098-DE0F-4D39-BA5C-C4078ACFBF00},30,tihe asfaltbetoon
13705,Sõbra tn,7950323,kõrvaltänav,{50668237-4AE5-4131-9937-9D0E49D5BA08},50,tihe asfaltbetoon
13706,Sõbra tn,7950323,jaotustänav,{28370D23-79CE-4A98-BB0B-AEAE25DD54C9},30,tihe asfaltbetoon
13707,Sõbra tn,7950323,jaotustänav,{C0A69520-5C40-4D61-B2A2-A7E2DA83D435},30,tihe asfaltbetoon
13708,Sõbra tn,7950323,jaotustänav,{639AA2AD-28BE-46BA-AB91-A5CBD547F1AF},30,tihe asfaltbetoon
13709,Sõbra tn,7950323,kõrvaltänav,{44C73BD3-2AC1-4602-8679-C5C628609C87},50,tihe asfaltbetoon
13710,Sõbra tn,7950323,jaotustänav,{532B6C34-8401-4BEC-9F32-5E9C390A8658},30,tihe asfaltbetoon
13711,Sõbra tn,7950323,jaotustänav,{35D5112E-DD4D-40E3-8F51-89E93C4D02FA},50,tihe asfaltbetoon
13712,Sõbra tn,7950323,jaotustänav,{D59C93E6-A8CB-46EB-B14F-58A9C74B84C2},30,tihe asfaltbetoon
13713,Sõbra tn,7950323,jaotustänav,{C276A54F-71D3-42FA-8012-C3401DAEA2EF},50,tihe asfaltbetoon
13714,Sõbra tn,7950323,jaotustänav,{AB869DD9-9545-4184-B515-B9BC39CB0675},50,tihe asfaltbetoon
13715,Sõbra tn,7950323,jaotustänav,{DF98DCA9-8B7A-4446-AAB6-2B5F1219F76E},30,tihe asfaltbetoon
13716,Sõbra tn J 15a,7950957,kvartalisisene tänav,{B6793385-E077-4A14-ADCD-67A11FF9B41B},30,teadmata
13717,"Sõbra tn, Alevi tn 3a jalakäijate tee",7951091,jalgrada,{0C6F027A-8EE1-467C-AE22-7DFEAB48AFCA},30,kruusatee
13718,"Sõbra tn, Alevi tn 3a jalakäijate tee",7951091,jalgrada,{25A27843-CC73-4DFD-80AD-E49B1A51D9F5},30,kruusatee
13719,Sõpruse - Turu ristmik H 1,7950630,jaotustänav,{D896AC42-2967-4F1D-8AE9-492B8FF80C8F},50,tihe asfaltbetoon
13720,Sõpruse - Turu ristmik H 1,7950630,jaotustänav,{A0B003EC-1A3D-425B-BF71-2ADEA3236B70},50,tihe asfaltbetoon
13721,Sõpruse - Turu ristmik H 1,7950630,jaotustänav,{760BA499-9387-48D1-9456-63FF04C80148},50,tihe asfaltbetoon
13722,Sõpruse - Turu ristmik H 1,7950630,jaotustänav,{ACF0EFE5-33EF-4B75-97FD-05A283D2B3C3},50,tihe asfaltbetoon
13723,Sõpruse - Turu ristmik H 4,,kõnnitee,{B1DA3C63-A75E-48FA-AC12-DC767487B4B5},50,asfaltbetoon
13724,Sõpruse - Turu ristmik H 4,,jalgratta- ja jalgtee,{CD0C9DE9-CD8C-4B01-A509-FB787BE6B43C},50,asfaltbetoon
13725,Sõpruse - Turu ristmik H 4,,kõnnitee,{2EC2EDF4-ACDC-4625-8498-8A1EEA68E39C},50,asfaltbetoon
13726,Sõpruse - Turu ristmik H 4,,jalgratta- ja jalgtee,{578B61CF-0423-4CDF-A443-5B7670C62320},50,asfaltbetoon
13727,Sõpruse - Turu ristmik H 4,,kõnnitee,{3610A4CA-0B46-4B04-9829-7C2C045F75A0},50,asfaltbetoon
13728,Sõpruse - Turu ristmik H 4,,jalgratta- ja jalgtee,{C95360FD-465E-4D24-83D9-8444A0D0277B},50,asfaltbetoon
13729,Sõpruse - Turu ristmik H 4,,kõnnitee,{81C9279D-416D-4135-B3E7-1A28F0F2E274},50,asfaltbetoon
13730,Sõpruse - Turu ristmik H 4,,jalgratta- ja jalgtee,{5DFA3B79-4411-47B5-A68B-DC11A80732BF},50,asfaltbetoon
