ID,Nimi,Number,Liik,Tee_GID,Piirkiirus,Kate
1711, ,,kvartalisisene tänav,{2C3881F9-7DDF-4AFC-A90B-02918258C108},30,kattega tee (katte liik teadmata)
1712, ,,jalgrada,{22A64322-0413-46F5-8A91-3B66A6195615},50,kruusatee
1713, ,,kvartalisisene tänav,{A9D675B3-1756-4B6F-9832-292EB5E8D870},30,kattega tee (katte liik teadmata)
1714, ,,muu tee,{8FFD066B-5BCC-428D-80EB-FC39599CBB4D},90,kruusatee
1715, ,,kvartalisisene tänav,{E94A5465-84C5-44C7-B9E3-F276C0DC51D8},30,kattega tee (katte liik teadmata)
1716, ,,kvartalisisene tänav,{55795259-AA9B-456E-B682-29D4185E6702},50,kruusatee
1717, ,,kõrvaltänav,{6C0D12AE-D04F-4AD3-8DD5-BE644D89D2CC},50,kattega tee (katte liik teadmata)
1718, ,,kvartalisisene tänav,{15F3A74A-C4EB-454B-A8C3-1CD72A269637},50,kattega tee (katte liik teadmata)
1719, ,,kvartalisisene tänav,{82EA2A27-E13C-41E2-B1DB-8F9617DA5300},30,kattega tee (katte liik teadmata)
1720, ,,jalgrada,{A2DC0E8D-5B6D-4D00-A225-CBAF874AEBA0},50,kruusatee
1721, ,,kvartalisisene tänav,{76265322-7088-4319-923C-43F7EBBC4336},30,kattega tee (katte liik teadmata)
1722, ,,kvartalisisene tänav,{6E1F442A-7FB8-4568-99A7-D3FFFE386113},50,kattega tee (katte liik teadmata)
1723, ,,kvartalisisene tänav,{625A4CFC-A740-45B1-8E25-4FDA8FA4746D},30,kruusatee
1724, ,,jalgrada,{A44086A4-8491-48D0-8124-4135AA4DB052},50,"kruus, killustik jms"
1725, ,,kvartalisisene tänav,{D63249FC-CD65-4D23-8389-9EA87E7C5360},50,tihe asfaltbetoon
1726, ,,jalgrada,{78036A51-1792-42C4-BF7A-DA7490C9800C},50,kruusatee
1727, ,,kvartalisisene tänav,{C424768E-F955-4D5A-BEA6-1B3C5C4F00BB},50,kattega tee (katte liik teadmata)
1728, ,,jalgrada,{788E9061-E749-49D8-B258-D7E607C593F7},50,"kruus, killustik jms"
1729, ,,kõrvaltänav,{33E22082-0468-45FB-B01A-A89B975E65A9},50,kattega tee (katte liik teadmata)
1730, ,,kvartalisisene tänav,{928A052B-AD1D-4F7B-83D4-67AFBED2DCC4},30,kattega tee (katte liik teadmata)
1731, ,,jalgrada,{3B037758-6368-4089-9894-29618E5EAD64},50,kruusatee
1732, ,,muu tee,{ACC1C90E-F9D2-4CEE-B3D0-1FC03F311A9B},90,kattega tee (katte liik teadmata)
1733, ,,muu tee,{B320590A-034D-400F-9406-5CF0D0EE211F},90,pinnastee
1734, ,,kvartalisisene tänav,{D5982F71-A6DC-4C69-AD12-E2C249292396},50,kattega tee (katte liik teadmata)
1735, ,,kvartalisisene tänav,{391F9CF2-E671-495F-ADC2-0C89883D3259},50,kruusatee
1736, ,,jalgrada,{8D0D5E0D-BED9-4362-9855-ECBB31ED9D9C},50,kruusatee
1737, ,,kvartalisisene tänav,{CB0766E7-7723-4564-BA65-68A22BE19911},20,kattega tee (katte liik teadmata)
1738, ,,muu tee,{3F77D166-5189-4A9D-BB2F-9E8F622EC3E6},90,kattega tee (katte liik teadmata)
1739, ,,jalgrada,{CA9858EE-FA0B-4895-9146-7AF704BC4C67},50,pinnastee
1740, ,,kvartalisisene tänav,{12F4EBD4-EAB8-4D8B-BE15-615D676E0054},50,kattega tee (katte liik teadmata)
1741, ,,kvartalisisene tänav,{E3F010F1-A561-408E-84AF-175E86A23BDF},50,kattega tee (katte liik teadmata)
1742, ,,kvartalisisene tänav,{E9B8F620-2001-4E10-97F3-6C228DB4F1C6},50,kattega tee (katte liik teadmata)
1743, ,,kvartalisisene tänav,{8A1A59E2-B375-4DDE-AE58-7C0FC8739CEC},30,kattega tee (katte liik teadmata)
1744, ,,kvartalisisene tänav,{F88D2052-773D-403D-9330-5F2C7805B90F},50,kruusatee
1745, ,,kvartalisisene tänav,{D177E114-9DBE-484A-ACF6-C9EC5781F84C},50,kattega tee (katte liik teadmata)
1746, ,,muu tee,{79B23284-7784-42AA-86EB-0825B5223722},90,kruusatee
1747, ,,jalgrada,{F72ACDE1-23DE-4B28-B540-0FA41E78E643},50,pinnastee
1748, ,,jalgrada,{E3E0B05F-CFE8-468C-B5DB-4B66265C91D4},50,kruusatee
1749, ,,kvartalisisene tänav,{1486B2E5-89C8-4F86-B60B-FD820CE1E7CD},30,kattega tee (katte liik teadmata)
1750, ,,kvartalisisene tänav,{ADCCE0E8-CA23-49FE-BCE8-DF5AC0D2DFA6},30,kruusatee
1751, ,,kvartalisisene tänav,{A1DA7C69-D499-4016-9A31-85C70A6DBC45},50,pinnastee
1752, ,,jalgrada,{6552A879-B722-429A-8D64-D283AB1AE3E0},50,kruusatee
1753, ,,kõrvaltänav,{4F990BBC-4784-43A0-8720-FB9757274D3F},50,kattega tee (katte liik teadmata)
1754, ,,jalgrada,{DCE106C5-47DB-4730-9B1F-00AA624AD810},50,pinnastee
1755, ,,kvartalisisene tänav,{C861CA16-98AC-4FC7-95D7-2CB91302EBE0},50,kattega tee (katte liik teadmata)
1756, ,,jalgrada,{C5C92ABA-264A-49D0-93BC-AF3C48344428},50,"kruus, killustik jms"
1757, ,,jalgrada,{EBA443E1-20D4-45F8-812F-B97DB1185ACA},50,pinnastee
1758, ,,jalgrada,{9AD06269-B2B5-4BE8-AB38-00F1D91A2B66},50,kruusatee
1759, ,,kvartalisisene tänav,{D20E53FD-224C-40DB-A45B-46A9275E14E0},30,pinnastee
1760, ,,kvartalisisene tänav,{90EA29D1-2CE5-4BCE-AF5F-5263C4CAE0A3},50,kattega tee (katte liik teadmata)
1761, ,,kvartalisisene tänav,{C2819C1B-C807-4208-886C-B4F5766EDF79},50,tihe asfaltbetoon
1762, ,,jalgrada,{2E2FC53E-6E8F-4A67-8E63-0C147026A626},50,pinnastee
1763, ,,kvartalisisene tänav,{7C7269D1-F1BC-4C17-9713-FAF3C62E07D6},30,pinnastee
1764, ,,jalgrada,{F55AD420-0523-4DC5-99A9-E5167D3B58F2},50,kruusatee
1765, ,,kvartalisisene tänav,{51AF3974-63E8-42F8-A394-FF6967D19145},50,kattega tee (katte liik teadmata)
1766, ,,kvartalisisene tänav,{164DC28F-B062-481B-9C8C-B150CDEB8B77},50,kattega tee (katte liik teadmata)
1767, ,,kvartalisisene tänav,{4F4FE411-71F6-4A10-AC63-268DABD0EAB0},50,kattega tee (katte liik teadmata)
1768, ,,jalgrada,{52074961-B6ED-420B-B40A-F35206AB17EC},50,kruusatee
1769, ,,kvartalisisene tänav,{11D20FB5-2923-4E75-A4FA-B05C463E18F2},50,kattega tee (katte liik teadmata)
1770, ,,kvartalisisene tänav,{3D3E1860-41DD-4FC5-94FA-00C3AC0FADA2},50,kattega tee (katte liik teadmata)
1771, ,,kvartalisisene tänav,{8F7539D7-89A4-4B4B-B641-2F14770C03C7},50,kattega tee (katte liik teadmata)
1772, ,,jalgrada,{AFF1F07F-9C42-4DA9-BA50-16938F630C6F},50,kruusatee
1773, ,,kvartalisisene tänav,{5E5CE046-99B0-493F-B2DB-541540D91EFA},50,kattega tee (katte liik teadmata)
1774, ,,kvartalisisene tänav,{2A0A5254-19E7-4C96-88B6-32BD92226C65},50,kruusatee
1775, ,,kvartalisisene tänav,{A25768E3-B11E-4419-B16F-DC5A3D4BC0C0},30,pinnastee
1776, ,,jalgrada,{9446136D-626C-46AE-88D0-F1D34F94A4B2},50,"kruus, killustik jms"
1777, ,,kõrvaltänav,{39EE5277-3E2A-40FD-8FEE-3CE6FD57DA6F},50,kattega tee (katte liik teadmata)
1778, ,,kvartalisisene tänav,{EEE674C6-1F5C-4DDA-ABC9-D97401AE2D71},50,kattega tee (katte liik teadmata)
1779, ,,kvartalisisene tänav,{3484F939-03D7-4592-A124-F3BD2FB63FF1},50,kattega tee (katte liik teadmata)
1780, ,,jalgrada,{A75D11A9-ADCE-4A97-A77C-3ED4DDEEEA3F},50,kruusatee
1781, ,,kvartalisisene tänav,{2701912D-9B19-47E1-A489-8F1D16EBCAA7},50,kattega tee (katte liik teadmata)
1782, ,,kvartalisisene tänav,{A44C363F-4887-41B5-B165-5A43B5E99D0C},50,kruusatee
1783, ,,kvartalisisene tänav,{2C3944AD-222A-47B6-8734-9551FDF30A06},50,kattega tee (katte liik teadmata)
1784, ,,jalgrada,{A4C9133F-9A50-4952-B7B8-F11198EDC43C},50,kruusatee
1785, ,,kvartalisisene tänav,{8D1DB99D-78B4-4486-B96E-37497B9BDB67},50,kattega tee (katte liik teadmata)
1786, ,,kvartalisisene tänav,{E0563C7D-2D83-449F-833A-F14E7A46A742},30,kattega tee (katte liik teadmata)
1787, ,,kvartalisisene tänav,{C86A09EA-EF1C-489C-A321-D9658460D9FB},50,kattega tee (katte liik teadmata)
1788, ,,kvartalisisene tänav,{CC234A5E-88EF-4CBA-B3D1-48FBE439B884},50,kattega tee (katte liik teadmata)
1789, ,,kvartalisisene tänav,{E6FE121B-3450-4907-9F01-5AA7F64FE001},50,kattega tee (katte liik teadmata)
1790, ,,kvartalisisene tänav,{B5EAA81D-9360-4834-B9DD-E8DF2B46EA23},50,kattega tee (katte liik teadmata)
1791, ,,kvartalisisene tänav,{75F312FB-9917-45A3-ACC7-74CBA3174A54},30,kattega tee (katte liik teadmata)
1792, ,,jalgrada,{4504C34C-B91E-4DDA-8ABD-DF144AF6551E},50,kruusatee
1793, ,,kvartalisisene tänav,{FDBE4ED7-03AA-4A92-90BA-2E61A30DBF87},50,kattega tee (katte liik teadmata)
1794, ,,jalgrada,{8ACC85A2-3D25-4996-9813-578EE6B6EE8A},50,pinnastee
1795, ,,jalgrada,{E7FABE6F-13D2-419A-A705-585D7432055F},50,pinnastee
1796, ,,jalgrada,{501B8CCA-C148-49CA-B517-90C781753574},50,"kruus, killustik jms"
1797, ,,kvartalisisene tänav,{1610E491-BCC8-4747-AE6B-0A77D4256BDA},50,kattega tee (katte liik teadmata)
1798, ,,kvartalisisene tänav,{329C54D1-B93D-45FE-A87B-C41B11C3F907},50,kattega tee (katte liik teadmata)
1799, ,,kvartalisisene tänav,{F4E32E70-9047-42CB-B567-9172628F8AAC},50,kattega tee (katte liik teadmata)
1800, ,,jalgrada,{36759A88-AFC6-4EC0-8797-45740FEA5D4D},50,"kruus, killustik jms"
1801, ,,kvartalisisene tänav,{C7343BE9-350E-4EDF-9E84-E73DD6EC68B0},50,kattega tee (katte liik teadmata)
1802, ,,kvartalisisene tänav,{40C3ACA6-55F1-43C1-B402-08762816B2C5},50,kattega tee (katte liik teadmata)
1803, ,,jalgrada,{E56DA847-EBC0-4910-BB22-019E09C4E0F8},50,kruusatee
1804, ,,kvartalisisene tänav,{2AC628B6-5964-4825-9024-E625CCDF64A7},50,kattega tee (katte liik teadmata)
1805, ,,jalgrada,{BFBDD0FA-9100-4E4F-8EA5-83D389C4B109},50,kruusatee
1806, ,,kvartalisisene tänav,{B30D4AE0-5975-4311-AE92-70D5F0FAE1DD},30,kruusatee
1807, ,,kvartalisisene tänav,{FDC6C7E8-4C62-45CF-A7C9-9744AA4DA1A7},50,kattega tee (katte liik teadmata)
1808, ,,muu tee,{0BEE7D07-5F52-4D26-9E65-789A05D2EC18},90,pinnastee
1809, ,,kvartalisisene tänav,{7179B79F-3AF1-4274-9EBA-5BCBF8017CF7},50,tihe asfaltbetoon
1810, ,,kvartalisisene tänav,{42D7E146-F6E5-4931-9426-7DF12101382B},50,kattega tee (katte liik teadmata)
1811, ,,kvartalisisene tänav,{31925B2D-FFD0-4951-BD32-75A311A5AFA7},50,kattega tee (katte liik teadmata)
1812, ,,muu tee,{1F25A40A-52C4-4B2C-8A65-D7B8691EC995},90,pinnastee
1813, ,,kvartalisisene tänav,{1403EC63-51AE-4C32-844F-271EEC4CE017},30,kattega tee (katte liik teadmata)
1814, ,,muu tee,{5F31D16F-12D4-4E24-8876-4D6E1A4F1695},90,kattega tee (katte liik teadmata)
1815, ,,kvartalisisene tänav,{9DCDCB6B-2BEC-4B97-8F4F-B968F35D6D78},50,kattega tee (katte liik teadmata)
1816, ,,jalgrada,{21C69CEF-860A-4C39-A467-BB01CD8102A4},50,kruusatee
1817, ,,kvartalisisene tänav,{3C842F47-7B3B-409A-A711-C47EE0B5E6A2},50,kattega tee (katte liik teadmata)
1818, ,,kvartalisisene tänav,{EC295801-531C-4305-86A3-5102445062FB},50,kruusatee
1819, ,,jalgrada,{0F1CB795-54D0-4D05-9DB6-FCEB67FF760C},50,pinnastee
1820, ,,kvartalisisene tänav,{745EB0D6-9669-4F58-ACE7-ED337A01E560},50,kattega tee (katte liik teadmata)
1821, ,,kõrvaltänav,{A7E9377E-1EBF-416E-B4EE-D1E8C1C7FFAB},50,kattega tee (katte liik teadmata)
1822, ,,kvartalisisene tänav,{AF0E0382-F17C-47B9-9748-C7A29E60FBAC},50,kruusatee
1823, ,,kvartalisisene tänav,{F2C8BFC0-6859-4AFD-AADE-BF5CCB665923},50,kattega tee (katte liik teadmata)
1824, ,,kvartalisisene tänav,{35398CC7-A836-49B0-9BEC-6871FAF21E47},50,kattega tee (katte liik teadmata)
1825, ,,kvartalisisene tänav,{7CD67022-77BF-4BB5-9AEE-E029AED18288},50,kattega tee (katte liik teadmata)
1826, ,,kvartalisisene tänav,{D0D8D52A-A595-4AA1-A44D-994CAE7C0B4C},50,kattega tee (katte liik teadmata)
1827, ,,kvartalisisene tänav,{55D7BC67-4FDF-4514-AD7E-A3A61BA527EC},50,kattega tee (katte liik teadmata)
1828, ,,kvartalisisene tänav,{16E23F69-1F2E-4F34-924B-FD7704F091D9},30,kattega tee (katte liik teadmata)
1829, ,,kvartalisisene tänav,{71A9A983-EE72-4CD2-8D4C-0782E3D1063F},30,kattega tee (katte liik teadmata)
1830, ,,kvartalisisene tänav,{8290FEF3-1AB5-498A-B317-E5238DC42FC9},50,kattega tee (katte liik teadmata)
1831, ,,kvartalisisene tänav,{1F38DEE9-11F7-469B-9A1B-4A651E389C03},50,kattega tee (katte liik teadmata)
1832, ,,kvartalisisene tänav,{71DC718E-76F3-4B75-9278-D8D6861B3728},50,kattega tee (katte liik teadmata)
1833, ,,kvartalisisene tänav,{3B777507-765D-451B-AD6A-676C5169EC8B},50,tihe asfaltbetoon
1834, ,,muu tee,{1772CCCA-9D0C-4CB3-BDEB-5888A9D276F3},90,kruusatee
1835, ,,kvartalisisene tänav,{50BB9429-40F2-4F2B-87E7-C56F163EFD1B},50,kattega tee (katte liik teadmata)
1836, ,,kvartalisisene tänav,{3B5A7A60-EA1B-4E70-8DC7-086A4D097022},50,kattega tee (katte liik teadmata)
1837, ,,kvartalisisene tänav,{D7D4FAAE-33AE-4F31-A5C5-8F3E4605BCCE},50,kattega tee (katte liik teadmata)
1838, ,,kvartalisisene tänav,{076973F5-6046-48C2-BEC6-74B78BAFC79B},50,kattega tee (katte liik teadmata)
1839, ,,kvartalisisene tänav,{63193ECB-98ED-470A-B306-7FE1BCF8CECC},50,kattega tee (katte liik teadmata)
1840, ,,kvartalisisene tänav,{FE85F07F-4902-4ED7-AB47-620946603E51},50,kattega tee (katte liik teadmata)
1841, ,,kvartalisisene tänav,{7339BD60-B50A-4E0E-9B9F-523C12A2F6D2},30,kattega tee (katte liik teadmata)
1842, ,,kvartalisisene tänav,{D8201109-96DE-41F6-9F12-4AB7C3DD3667},50,kruusatee
1843, ,,jalgrada,{9020D703-D4AD-4508-A8DF-F18BD2DA4ED5},50,kruusatee
1844, ,,kvartalisisene tänav,{E26E43B1-1797-4B23-A5B3-31F707751A3D},50,kruusatee
1845, ,,kvartalisisene tänav,{9D7C3F58-E28C-4C6E-BF0E-CA251D245874},30,kattega tee (katte liik teadmata)
1846, ,,kvartalisisene tänav,{E0AFC0CE-3DCB-4DC1-9D54-003A7204D82C},50,kattega tee (katte liik teadmata)
1847, ,,jalgrada,{A70E84C8-C81D-4A5C-9089-FE63D5A6C88F},50,kruusatee
1848, ,,kvartalisisene tänav,{B79B3719-ADA5-4498-B917-DC000C81AB24},50,kattega tee (katte liik teadmata)
1849, ,,kvartalisisene tänav,{4DBE1ECC-17A9-458C-B855-2A10648825BB},50,kattega tee (katte liik teadmata)
1850, ,,kvartalisisene tänav,{2CC761AB-4E72-4408-9A47-48C33B7A664B},50,kattega tee (katte liik teadmata)
1851, ,,jalgrada,{037D1795-9767-4AFA-B204-9DCA80E3AFA8},50,kruusatee
1852, ,,jalgrada,{EC875810-7BAC-4F60-ACD1-361381C4A14D},50,kruusatee
1853, ,,jalgrada,{5A017933-374F-44B1-8A33-386C96F0C35A},50,pinnastee
1854, ,,kvartalisisene tänav,{4D83F69A-44E0-4984-93F5-78AA4E4F4283},50,kattega tee (katte liik teadmata)
1855, ,,kvartalisisene tänav,{2926A5EF-7A20-4297-8778-BCC2ECB21A56},50,kattega tee (katte liik teadmata)
1856, ,,jalgrada,{224C16F1-3745-419A-A46E-681BF1E50D3B},50,kruusatee
1857, ,,kvartalisisene tänav,{1CBB3C48-F7C5-4476-B355-FD2846BCF24A},50,kattega tee (katte liik teadmata)
1858, ,,kvartalisisene tänav,{46CA3600-75A3-4389-92A3-368D4BEA62D1},50,kruusatee
1859, ,,kvartalisisene tänav,{91D99DED-2851-4F42-8236-2AB99643DA1F},50,kattega tee (katte liik teadmata)
1860, ,,kvartalisisene tänav,{D77FD99D-2C44-4AE5-8CFE-305AF2FAA8A0},50,kattega tee (katte liik teadmata)
1861, ,,kvartalisisene tänav,{691B6981-692F-400D-A13E-775640D8BD5B},50,kattega tee (katte liik teadmata)
1862, ,,kvartalisisene tänav,{C1E91AB1-5347-4086-B174-0702FC39DE7F},50,kruusatee
1863, ,,jalgrada,{A2FABFC6-6320-497C-86DA-81C4BAD96804},50,kruusatee
1864, ,,kvartalisisene tänav,{2E8B4E9B-8682-4045-B106-AF7D95D6DEE6},50,kruusatee
1865, ,,kvartalisisene tänav,{EACBD32C-6F6A-4DC9-A521-37A32ED6FA2B},20,kruusatee
1866, ,,kvartalisisene tänav,{9368A1BB-3C51-4411-B2C6-DFC7F60DCFC4},50,kruusatee
1867, ,,jalgrada,{4A5EE9ED-F7D4-4BE4-8927-5BD1422BE535},50,kruusatee
1868, ,,kvartalisisene tänav,{9F2E7632-E121-4A86-A58E-859F960630A3},50,kattega tee (katte liik teadmata)
1869, ,,kvartalisisene tänav,{C1250A7C-49DA-4206-849E-3BFACAB1CC9F},50,kattega tee (katte liik teadmata)
1870, ,,kvartalisisene tänav,{B48FD461-FABE-4696-824D-E0F0B507A8AF},50,pinnastee
1871, ,,kvartalisisene tänav,{7CA52FED-D038-4CAB-9CFE-69C8DE162972},50,kattega tee (katte liik teadmata)
1872, ,,jalgrada,{842D2C5A-FA3B-4D18-BDDF-D775D92CB679},90,kruusatee
1873, ,,kvartalisisene tänav,{796BF063-5375-48A4-A749-9A5560558666},50,kattega tee (katte liik teadmata)
1874, ,,kvartalisisene tänav,{72E74E48-BE78-4483-9443-81BA413BE1D2},50,pinnastee
1875, ,,kvartalisisene tänav,{754789B9-61C4-4502-8F87-282717C203AB},50,kattega tee (katte liik teadmata)
1876, ,,kvartalisisene tänav,{07CC18DE-8E8E-4EB8-884A-48ABF7EEE20D},50,kattega tee (katte liik teadmata)
1877, ,,kvartalisisene tänav,{6535280E-C83B-4083-940F-2CAB8B260F76},50,kattega tee (katte liik teadmata)
1878, ,,kvartalisisene tänav,{3795CD84-74B3-4507-8BBD-52D587CE1AF6},50,pinnastee
1879, ,,kvartalisisene tänav,{FEBD2B9E-F91D-4411-B025-CE928336DA36},50,kattega tee (katte liik teadmata)
1880, ,,jalgrada,{B2190B40-2208-4CDD-A052-A596DB4D929F},90,pinnastee
1881, ,,kvartalisisene tänav,{B145B655-BACE-4400-B0C8-473A1C86D178},50,kattega tee (katte liik teadmata)
1882, ,,kvartalisisene tänav,{8FD1A417-71A5-4790-86F7-488E2FAF25BC},50,kruusatee
1883, ,,kvartalisisene tänav,{A4332EC1-7E3D-46D0-A3A7-3AD793495CFD},50,kattega tee (katte liik teadmata)
1884, ,,jalgrada,{D217D558-B933-40AA-A035-28C21DA7FD15},50,kruusatee
1885, ,,jalgrada,{87B425C2-139B-4E8C-AFB8-8A1E51BD5DF5},50,kruusatee
1886, ,,jalgtee,{D7362D58-AAD4-4731-9756-983692F93B97},50,kruusatee
1887, ,,jalgrada,{A689C9B3-E1FB-4E59-8098-5386824F56E4},50,kruusatee
1888, ,,kvartalisisene tänav,{26FD73D1-C236-4E90-A9B8-DF22F5CF263D},50,kruusatee
1889, ,,jalgrada,{4100A7C8-5755-40BF-9879-B2C5BB8A40A6},50,kruusatee
1890, ,,kvartalisisene tänav,{431E4CCF-7A35-49A1-8E4F-B354F47CC84D},50,kattega tee (katte liik teadmata)
1891, ,,jalgrada,{3C0EC73D-85A4-4B04-86D5-32958BF56938},50,kruusatee
1892, ,,kvartalisisene tänav,{F1AC0A6E-2A41-4502-ADB1-5390A57DF4A1},30,kruusatee
1893, ,,kvartalisisene tänav,{71826B5B-ED5B-4CB1-B1D5-0F58177C80A9},50,kruusatee
1894, ,,kvartalisisene tänav,{2B40E48B-84EC-46DD-9BAC-728D44F81B9E},50,kattega tee (katte liik teadmata)
1895, ,,kvartalisisene tänav,{B51FB221-6FE1-48C9-8A23-5FCAA4505849},50,kattega tee (katte liik teadmata)
1896, ,,kvartalisisene tänav,{0127D006-0A61-4B3D-A343-BE0F900E3FDF},50,kattega tee (katte liik teadmata)
1897, ,,kvartalisisene tänav,{B5B9A106-B174-4CD2-8794-DAE214B55986},50,kattega tee (katte liik teadmata)
1898, ,,jalgrada,{4137EA68-CB14-4A6B-A677-BD7A7A2FC8F8},50,pinnastee
1899, ,,kvartalisisene tänav,{FAC72266-4C39-42C8-8BFD-9486F9A3CB28},50,kattega tee (katte liik teadmata)
1900, ,,kvartalisisene tänav,{CCAE2EE1-62C3-42F0-9EBF-034428C5BF4B},50,kattega tee (katte liik teadmata)
1901, ,,kvartalisisene tänav,{6BC46ACA-E314-401B-99DD-1E700BD87A99},50,kattega tee (katte liik teadmata)
1902, ,,kvartalisisene tänav,{9E094432-7FA9-4D20-BB80-E4EB758839D7},30,kruusatee
1903, ,,jalgrada,{08AE894F-E276-47E5-AA32-5CC785783688},50,pinnastee
1904, ,,kvartalisisene tänav,{89343F3F-AD60-4FFA-A33A-D6D90D49DF74},50,kattega tee (katte liik teadmata)
1905, ,,kvartalisisene tänav,{4AF5CA96-FD61-4340-9AF6-169082B421C7},20,kruusatee
1906, ,,kvartalisisene tänav,{0C7AADFC-F4AE-4B2E-AF6D-166836DB80E5},50,kattega tee (katte liik teadmata)
1907, ,,kvartalisisene tänav,{1D13E86B-5C8F-461B-83BE-ADFF0A6DB935},50,kattega tee (katte liik teadmata)
1908, ,,kõrvaltänav,{31B8E7AE-17EB-4776-949F-10A9CBB12F91},30,kattega tee (katte liik teadmata)
1909, ,,kvartalisisene tänav,{ED759CAE-C6AA-460B-825D-87F83D24BF79},20,kruusatee
1910, ,,kvartalisisene tänav,{D54A754F-B8F3-416C-BC35-74418EA37087},50,kruusatee
1911, ,,kvartalisisene tänav,{C8400564-A902-49D6-BA42-B985BE748621},50,kattega tee (katte liik teadmata)
1912, ,,kvartalisisene tänav,{F2B778B7-3A33-4726-AD68-1089306C8A0D},50,kattega tee (katte liik teadmata)
1913, ,,kvartalisisene tänav,{9DE8534F-CB8C-4C4C-8CBD-CEA76C8921E1},50,kattega tee (katte liik teadmata)
1914, ,,kvartalisisene tänav,{09BD6E57-2F4F-4501-8F0C-BF34BBE23C71},50,kattega tee (katte liik teadmata)
1915, ,,kvartalisisene tänav,{B858FDA4-DC81-45B6-AF05-6BDCF4109AD4},50,kattega tee (katte liik teadmata)
1916, ,,kvartalisisene tänav,{24B6F2C0-C773-44D7-BA1C-34E62BCDAFE1},50,kattega tee (katte liik teadmata)
1917, ,,kvartalisisene tänav,{F2D00BDA-4FA8-4E98-8A81-70AE6310CF02},30,kattega tee (katte liik teadmata)
1918, ,,kvartalisisene tänav,{FC43CA03-DF86-4052-A268-515E4271FCB0},30,kattega tee (katte liik teadmata)
1919, ,,kvartalisisene tänav,{7C8CD377-730C-4EBA-9E83-7FFE2C54D5AE},50,kruusatee
1920, ,,kvartalisisene tänav,{0879A68C-6F4B-4D5B-BB97-AD86B3B61C24},50,kattega tee (katte liik teadmata)
1921, ,,kvartalisisene tänav,{DBA29545-4094-4CCF-BFFF-C863B09B0667},50,kruusatee
1922, ,,kvartalisisene tänav,{89F7E110-62A7-421B-B98D-6468ADC5838E},30,kattega tee (katte liik teadmata)
1923, ,,muu tee,{7C8B4ECB-A799-41F3-A4F7-263FCEB080B4},90,kruusatee
1924, ,,kvartalisisene tänav,{55007417-5978-4666-83DA-E7744652719A},30,kruusatee
1925, ,,kvartalisisene tänav,{8A3D70EC-390A-4F92-B9DB-E504D571BAFC},50,kattega tee (katte liik teadmata)
1926, ,,kvartalisisene tänav,{85E98C74-B133-4CC0-A9D7-31337207AB74},50,kruusatee
1927, ,,kvartalisisene tänav,{E8D8AECD-5C42-4911-ACD2-9EC021F6DE4D},50,tihe asfaltbetoon
1928, ,,kvartalisisene tänav,{DCFB59B3-96BD-499C-AD81-4412A4990BDA},50,kruusatee
1929, ,,kvartalisisene tänav,{4E56AF67-3ED9-450C-859F-A7D37B92109B},50,kattega tee (katte liik teadmata)
1930, ,,kvartalisisene tänav,{7D6C8EEC-6D20-4074-8681-9D88F73E691A},50,kattega tee (katte liik teadmata)
1931, ,,kvartalisisene tänav,{AE9EFEA9-0681-47BA-9175-C9FB528ED150},50,kattega tee (katte liik teadmata)
1932, ,,kvartalisisene tänav,{2D152FE2-E40E-4A6B-9B6D-CE7CE3809008},50,kattega tee (katte liik teadmata)
1933, ,,kvartalisisene tänav,{EC5A42B0-D2C0-4BA5-B90F-AC9F217664BA},10,kruusatee
1934, ,,kvartalisisene tänav,{D287F3D8-0734-4CC2-80E5-CB6BAAC298E3},50,kattega tee (katte liik teadmata)
1935, ,,kvartalisisene tänav,{07D3019A-9DC9-452C-AB04-6AC64D27A1A6},50,kruusatee
1936, ,,muu tee,{A186FCDD-5375-46CC-BB0B-2798BFC723E3},90,pinnastee
1937, ,,kvartalisisene tänav,{8F386D93-25C6-4418-A72B-47981C47BDB2},50,pinnastee
1938, ,,kvartalisisene tänav,{B86576AC-23EB-47BF-B87D-D1A5E05B1892},50,kattega tee (katte liik teadmata)
1939, ,,kvartalisisene tänav,{A22505E9-99DF-45E4-A4E8-5E138C48DFB6},50,kattega tee (katte liik teadmata)
1940, ,,jalgrada,{E8850976-7030-403E-B4EE-2714AEAA5B0F},50,kruusatee
1941, ,,kvartalisisene tänav,{34A285A7-4BD7-4D9F-A0C2-5768A9341B66},50,pinnastee
1942, ,,kvartalisisene tänav,{D0F554CD-8649-48B9-80D6-AF10E64DB030},50,kattega tee (katte liik teadmata)
1943, ,,kvartalisisene tänav,{C8AE6B1F-2E4C-4D65-AD90-8E98A28A1BB6},30,kattega tee (katte liik teadmata)
1944, ,,jalgrada,{6BC60013-9F7F-4B23-BDE7-D707D43DD3CC},50,kruusatee
1945, ,,kvartalisisene tänav,{43E8D249-F390-4987-AFD0-3648C7EE00A6},30,kattega tee (katte liik teadmata)
1946, ,,kvartalisisene tänav,{59A830F1-5ED3-4EE8-A24D-3CE37CD50EFE},50,kattega tee (katte liik teadmata)
1947, ,,jalgrada,{08D3FEBE-37A7-4821-8536-31F26BF3AF75},50,kruusatee
1948, ,,kvartalisisene tänav,{9B705C32-BF3E-4ED8-8573-797E42E1C9D9},50,kattega tee (katte liik teadmata)
